OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
5,ACL,1257,0.28903196137042997,0.3076943057463095
5,MCL,1190,0.27362612094734423,0.23167902542961002
5,Medial Meniscus,1862,0.42814440101172685,0.5449061112082788
5,Lateral Meniscus,1462,0.3361692343067372,0.3747611492275404
5,Medial OA,0,0.0,
5,Lateral OA,0,0.0,
5,PF OA,0,0.0,
5,Effusion,999,0.22970797884571165,0.382167454818145
5,Synovitis,0,0.0,
5,Baker's,500,0.11496895838123707,0.712283079105338
5,Contusion,725,0.16670498965279373,0.33728193141938934
5,Fracture,442,0.10163255920901357,0.38462522635531193
